order_line_id,order_id,product_id,quantity,unit_price,discount_amount
OL00050,ORD0019,PROD0032,1,63.21,0.46
OL00051,ORD0019,PROD0052,2,493.59,1.66
OL00052,ORD0019,PROD0004,1,475.82,6.11
OL00053,ORD0019,PROD0016,2,141.83,6.82
OL00054,ORD0020,PROD0081,1,149.56,6.22
OL00055,ORD0021,PROD0021,2,20.67,2.04
OL00056,ORD0021,PROD0059,1,86.04,3.45
OL00057,ORD0021,PROD0029,3,93.05,0.51
OL00058,ORD0021,PROD0019,2,344.43,9.11
OL00059,ORD0021,PROD0083,2,203.77,1.98
OL00060,ORD0022,PROD0056,2,255.57,4.47
OL00061,ORD0022,PROD0017,3,490.18,6.38
OL00062,ORD0022,PROD0097,3,126.73,5.59
OL00063,ORD0023,PROD0009,1,158.39,2.61
OL00064,ORD0023,PROD0063,3,279.62,3.09
OL00065,ORD0023,PROD0049,2,313.11,6.38
OL00066,ORD0023,PROD0028,3,287.4,6.64
OL00067,ORD0023,PROD0036,1,286.76,3.39
OL00068,ORD0024,PROD0065,2,389.11,7.89
OL00069,ORD0024,PROD0059,2,86.04,6.89
OL00070,ORD0024,PROD0076,3,269.77,1.77
OL00071,ORD0024,PROD0073,3,224.99,6.75
OL00072,ORD0025,PROD0065,1,389.11,8.83
OL00073,ORD0025,PROD0064,1,248.39,2.42
OL00074,ORD0025,PROD0051,3,239.56,6.38
OL00075,ORD0025,PROD0046,1,85.99,9.41
OL00076,ORD0025,PROD0058,2,341.73,3.82
OL00077,ORD0026,PROD0043,2,178.58,2.75
OL00078,ORD0026,PROD0094,1,436.11,2.04
OL00079,ORD0027,PROD0030,3,86.64,6.79
OL00080,ORD0028,PROD0088,2,52.25,1.92
OL00081,ORD0028,PROD0058,1,341.73,9.84
OL00082,ORD0028,PROD0048,1,436.59,2.25
OL00083,ORD0029,PROD0004,1,475.82,6.37
OL00084,ORD0029,PROD0094,2,436.11,8.41
OL00085,ORD0029,PROD0081,3,149.56,1.74
OL00086,ORD0029,PROD0069,1,288.04,2.76
OL00087,ORD0029,PROD0027,2,298.77,7.79
OL00088,ORD0030,PROD0049,3,313.11,1.72
OL00089,ORD0030,PROD0039,2,322.11,1.59
OL00090,ORD0030,PROD0046,2,85.99,7.06
OL00091,ORD0031,PROD0035,1,262.13,0.13
OL00092,ORD0031,PROD0013,3,431.52,2.59
OL00093,ORD0032,PROD0022,3,27.33,2.64
OL00094,ORD0032,PROD0029,2,93.05,7.23
OL00095,ORD0032,PROD0073,3,224.99,4.44
OL00096,ORD0032,PROD0037,1,481.7,2.53
OL00097,ORD0032,PROD0038,1,457.03,4.53
OL00098,ORD0033,PROD0053,2,411.23,6.02
OL00099,ORD0034,PROD0024,1,96.07,9.68
OL00100,ORD0035,PROD0099,2,172.2,1.39
OL00101,ORD0035,PROD0055,1,77.81,6.79
OL00102,ORD0036,PROD0023,3,464.44,2.44
OL00103,ORD0036,PROD0084,2,414.25,0.38
OL00104,ORD0036,PROD0087,1,141.97,3.89
OL00105,ORD0036,PROD0025,1,63.25,6.23
OL00106,ORD0037,PROD0047,2,393.73,8.46
OL00107,ORD0038,PROD0052,2,493.59,7.7
OL00108,ORD0039,PROD0008,3,28.33,8.23
OL00109,ORD0039,PROD0050,3,342.25,1.91
OL00110,ORD0040,PROD0011,3,316.01,9.39
OL00111,ORD0040,PROD0028,2,287.4,1.49
OL00112,ORD0040,PROD0051,3,239.56,0.64
OL00113,ORD0040,PROD0034,1,293.84,3.87
OL00114,ORD0040,PROD0098,1,369.3,9.68
OL00115,ORD0041,PROD0024,3,96.07,6.57
OL00116,ORD0041,PROD0040,3,343.07,7.12
OL00117,ORD0041,PROD0032,2,63.21,2.42
OL00118,ORD0041,PROD0089,3,336.96,8.31
OL00119,ORD0041,PROD0020,3,457.06,9.05
OL00120,ORD0042,PROD0049,2,313.11,1.42
OL00121,ORD0042,PROD0046,1,85.99,4.67
OL00122,ORD0042,PROD0011,1,316.01,5.64
OL00123,ORD0042,PROD0080,3,142.45,9.39
OL00124,ORD0042,PROD0019,2,344.43,7.95
OL00125,ORD0043,PROD0062,2,306.07,6.66
OL00126,ORD0043,PROD0086,1,94.31,4.92
OL00127,ORD0043,PROD0024,1,96.07,3.42
OL00128,ORD0044,PROD0010,1,61.02,1.1
OL00129,ORD0044,PROD0005,3,114.48,2.05
OL00130,ORD0044,PROD0066,3,313.29,1.4
OL00131,ORD0045,PROD0068,2,471.85,3.42
OL00132,ORD0045,PROD0093,3,424.22,5.62
OL00133,ORD0045,PROD0099,3,172.2,3.04
OL00134,ORD0045,PROD0080,2,142.45,0.7
OL00135,ORD0045,PROD0058,1,341.73,5.08
OL00136,ORD0046,PROD0095,2,89.2,8.55
OL00137,ORD0046,PROD0008,3,28.33,0.94
OL00138,ORD0046,PROD0034,1,293.84,7.48
OL00139,ORD0046,PROD0061,3,276.41,8.3
OL00140,ORD0046,PROD0045,2,55.38,6.75
OL00141,ORD0047,PROD0047,2,393.73,4.42
OL00142,ORD0047,PROD0065,1,389.11,0.61
OL00143,ORD0048,PROD0092,3,390.55,0.21
OL00144,ORD0048,PROD0055,1,77.81,3.74
OL00145,ORD0048,PROD0002,2,460.76,8.72
OL00146,ORD0048,PROD0090,3,40.65,4.85
OL00147,ORD0048,PROD0036,2,286.76,1.05
OL00148,ORD0049,PROD0054,3,153.66,0.25
OL00149,ORD0049,PROD0044,3,92.08,7.76
OL00150,ORD0049,PROD0036,3,286.76,0.49
OL00151,ORD0050,PROD0038,1,457.03,8.67
OL00152,ORD0050,PROD0021,3,20.67,5.73
OL00153,ORD0051,PROD0008,3,28.33,3.81
OL00154,ORD0051,PROD0056,1,255.57,2.55
OL00155,ORD0051,PROD0098,3,369.3,7.38
OL00156,ORD0051,PROD0039,1,322.11,8.04
OL00157,ORD0051,PROD0096,1,374.57,5.72
OL00158,ORD0052,PROD0097,1,126.73,3.85
OL00159,ORD0052,PROD0016,2,141.83,1.78
OL00160,ORD0053,PROD0062,2,306.07,8.41
OL00161,ORD0053,PROD0096,3,374.57,9.74
OL00162,ORD0053,PROD0016,3,141.83,1.1
OL00163,ORD0053,PROD0062,1,306.07,0.86
OL00164,ORD0053,PROD0044,3,92.08,0.6
OL00165,ORD0054,PROD0056,3,255.57,6.26
OL00166,ORD0055,PROD0058,2,341.73,4.36
OL00167,ORD0056,PROD0035,1,262.13,6.24
OL00168,ORD0057,PROD0033,1,301.73,0.94
OL00169,ORD0057,PROD0066,3,313.29,0.57
OL00170,ORD0057,PROD0015,3,452.82,2.36
OL00171,ORD0058,PROD0082,1,319.48,7.88
OL00172,ORD0058,PROD0024,3,96.07,7.34
OL00173,ORD0059,PROD0078,2,457.9,7.27
OL00174,ORD0059,PROD0019,2,344.43,6.62
OL00175,ORD0059,PROD0062,1,306.07,9.54
OL00176,ORD0059,PROD0040,1,343.07,2.86
OL00177,ORD0060,PROD0025,1,63.25,8.39
OL00178,ORD0061,PROD0059,2,86.04,7.55
OL00179,ORD0061,PROD0018,1,162.37,7.31
OL00180,ORD0061,PROD0086,2,94.31,5.05
OL00181,ORD0062,PROD0015,3,452.82,5.25
OL00182,ORD0062,PROD0079,3,311.08,2.13
OL00183,ORD0062,PROD0042,3,222.29,8.13
OL00184,ORD0063,PROD0054,3,153.66,4.24
OL00185,ORD0064,PROD0046,1,85.99,8.57
OL00186,ORD0064,PROD0040,2,343.07,5.99
OL00187,ORD0064,PROD0045,2,55.38,0.56
OL00188,ORD0064,PROD0044,2,92.08,8.87
OL00189,ORD0064,PROD0089,1,336.96,3.84
OL00190,ORD0065,PROD0024,3,96.07,4.26
OL00191,ORD0066,PROD0017,3,490.18,5.46
OL00192,ORD0066,PROD0027,3,298.77,7.71
OL00193,ORD0066,PROD0091,2,152.69,8.45
OL00194,ORD0067,PROD0050,3,342.25,2.0
OL00195,ORD0068,PROD0044,1,92.08,2.82
OL00196,ORD0069,PROD0075,2,163.81,0.04
OL00197,ORD0069,PROD0028,1,287.4,6.52
OL00198,ORD0069,PROD0065,3,389.11,8.95
OL00199,ORD0069,PROD0047,2,393.73,7.51
OL00200,ORD0069,PROD0042,3,222.29,0.15
OL00201,ORD0070,PROD0017,3,490.18,1.39
OL00202,ORD0071,PROD0026,2,25.49,7.44
OL00203,ORD0071,PROD0069,3,288.04,4.01
OL00204,ORD0071,PROD0035,3,262.13,0.76
OL00205,ORD0072,PROD0092,2,390.55,6.99
OL00206,ORD0072,PROD0030,2,86.64,0.49
OL00207,ORD0073,PROD0011,1,316.01,2.13
OL00208,ORD0073,PROD0081,1,149.56,5.76
OL00209,ORD0074,PROD0019,1,344.43,8.75
OL00210,ORD0074,PROD0099,2,172.2,7.17
OL00211,ORD0074,PROD0034,1,293.84,3.31
OL00212,ORD0074,PROD0083,2,203.77,0.4
OL00213,ORD0074,PROD0006,3,119.01,0.38
OL00214,ORD0075,PROD0013,1,431.52,5.53
OL00215,ORD0075,PROD0044,3,92.08,6.39
OL00216,ORD0075,PROD0048,3,436.59,8.62
OL00217,ORD0075,PROD0036,1,286.76,3.36
OL00218,ORD0075,PROD0090,2,40.65,6.0
OL00219,ORD0076,PROD0075,2,163.81,2.76
OL00220,ORD0076,PROD0094,2,436.11,7.8
OL00221,ORD0076,PROD0054,1,153.66,9.8
OL00222,ORD0077,PROD0075,1,163.81,8.63
OL00223,ORD0077,PROD0056,2,255.57,0.8
OL00224,ORD0077,PROD0026,2,25.49,5.34
OL00225,ORD0078,PROD0031,1,213.8,7.16
OL00226,ORD0078,PROD0042,3,222.29,4.32
OL00227,ORD0079,PROD0060,1,297.18,6.04
OL00228,ORD0079,PROD0081,3,149.56,0.14
OL00229,ORD0080,PROD0003,3,372.68,5.67
OL00230,ORD0080,PROD0040,3,343.07,2.98
OL00231,ORD0080,PROD0091,1,152.69,0.75
OL00232,ORD0080,PROD0071,3,301.77,3.75
OL00233,ORD0081,PROD0093,1,424.22,2.21
OL00234,ORD0081,PROD0005,3,114.48,5.14
OL00235,ORD0081,PROD0010,1,61.02,1.64
OL00236,ORD0082,PROD0087,2,141.97,9.2
OL00237,ORD0082,PROD0053,3,411.23,4.0
OL00238,ORD0083,PROD0001,2,171.4,1.72
OL00239,ORD0083,PROD0076,2,269.77,8.71
OL00240,ORD0083,PROD0078,1,457.9,3.5
OL00241,ORD0083,PROD0083,2,203.77,1.74
OL00242,ORD0084,PROD0024,2,96.07,1.75
OL00243,ORD0084,PROD0075,1,163.81,9.03
OL00244,ORD0084,PROD0046,2,85.99,7.68
OL00245,ORD0084,PROD0029,1,93.05,9.26
OL00246,ORD0085,PROD0010,3,61.02,3.26
OL00247,ORD0086,PROD0042,3,222.29,6.11
OL00248,ORD0086,PROD0089,3,336.96,4.13
OL00249,ORD0086,PROD0057,1,295.59,3.88
OL00250,ORD0086,PROD0040,2,343.07,5.08
OL00251,ORD0087,PROD0005,1,114.48,8.89
OL00252,ORD0087,PROD0061,3,276.41,3.66
OL00253,ORD0088,PROD0014,2,259.72,4.38
OL00254,ORD0089,PROD0065,1,389.11,2.17
OL00255,ORD0089,PROD0074,2,355.62,5.05
OL00256,ORD0090,PROD0072,2,371.78,0.4
OL00257,ORD0090,PROD0072,2,371.78,1.52
OL00258,ORD0090,PROD0056,2,255.57,0.49
OL00259,ORD0090,PROD0012,1,370.24,0.59
OL00260,ORD0091,PROD0014,1,259.72,7.57
OL00261,ORD0091,PROD0026,3,25.49,2.47
OL00262,ORD0092,PROD0074,3,355.62,1.13
OL00263,ORD0092,PROD0015,1,452.82,1.61
OL00264,ORD0092,PROD0066,1,313.29,8.1
OL00265,ORD0093,PROD0026,1,25.49,7.47
OL00266,ORD0094,PROD0047,2,393.73,4.24
OL00267,ORD0094,PROD0032,3,63.21,9.95
OL00268,ORD0095,PROD0005,1,114.48,9.02
OL00269,ORD0095,PROD0071,3,301.77,7.62
OL00270,ORD0095,PROD0081,3,149.56,2.47
OL00271,ORD0095,PROD0016,2,141.83,5.18
OL00272,ORD0096,PROD0077,3,443.75,8.08
OL00273,ORD0096,PROD0092,3,390.55,5.65
OL00274,ORD0096,PROD0049,2,313.11,4.08
OL00275,ORD0096,PROD0018,2,162.37,0.13
OL00276,ORD0097,PROD0061,1,276.41,4.35
OL00277,ORD0097,PROD0087,3,141.97,6.75
OL00278,ORD0097,PROD0087,3,141.97,1.63
OL00279,ORD0097,PROD0011,1,316.01,2.39
OL00280,ORD0098,PROD0027,1,298.77,1.33
OL00281,ORD0098,PROD0022,3,27.33,0.11
OL00282,ORD0099,PROD0072,2,371.78,9.91
OL00283,ORD0099,PROD0032,2,63.21,3.09
OL00284,ORD0099,PROD0065,3,389.11,8.91
OL00285,ORD0099,PROD0075,2,163.81,9.27
OL00286,ORD0100,PROD0048,3,436.59,9.22
OL00287,ORD0100,PROD0080,2,142.45,0.3
OL00288,ORD0101,PROD0066,3,313.29,3.9
OL00289,ORD0101,PROD0010,1,61.02,9.93
OL00290,ORD0101,PROD0033,3,301.73,5.69
OL00291,ORD0102,PROD0046,1,85.99,6.1
OL00292,ORD0103,PROD0087,2,141.97,2.13
OL00293,ORD0103,PROD0002,2,460.76,7.5
OL00294,ORD0103,PROD0064,3,248.39,3.44
OL00295,ORD0103,PROD0094,1,436.11,0.63
OL00296,ORD0104,PROD0020,2,457.06,3.79
OL00297,ORD0104,PROD0037,2,481.7,8.2
OL00298,ORD0104,PROD0004,1,475.82,0.16
OL00299,ORD0104,PROD0023,2,464.44,7.95
OL00300,ORD0105,PROD0003,1,372.68,1.88
OL00301,ORD0105,PROD0059,2,86.04,8.79
OL00302,ORD0105,PROD0098,3,369.3,1.75
OL00303,ORD0105,PROD0081,1,149.56,5.72
OL00304,ORD0105,PROD0044,2,92.08,7.26
OL00305,ORD0106,PROD0080,3,142.45,3.57
OL00306,ORD0106,PROD0094,3,436.11,9.99
OL00307,ORD0106,PROD0064,2,248.39,8.51
OL00308,ORD0106,PROD0031,1,213.8,9.44
OL00309,ORD0106,PROD0058,2,341.73,1.35
OL00310,ORD0107,PROD0004,1,475.82,9.51
OL00311,ORD0107,PROD0087,1,141.97,4.58
OL00312,ORD0107,PROD0002,1,460.76,1.94
OL00313,ORD0108,PROD0040,1,343.07,9.05
OL00314,ORD0108,PROD0019,1,344.43,6.77
OL00315,ORD0108,PROD0046,1,85.99,6.86
OL00316,ORD0108,PROD0053,1,411.23,7.91
OL00317,ORD0108,PROD0041,2,113.6,6.34
OL00318,ORD0109,PROD0071,2,301.77,7.71
OL00319,ORD0109,PROD0014,3,259.72,4.58
OL00320,ORD0109,PROD0033,3,301.73,0.47
OL00321,ORD0109,PROD0067,1,248.2,5.93
OL00322,ORD0109,PROD0081,3,149.56,6.97
OL00323,ORD0110,PROD0023,2,464.44,0.59
OL00324,ORD0111,PROD0047,1,393.73,6.33
OL00325,ORD0111,PROD0056,3,255.57,6.94
OL00326,ORD0111,PROD0003,1,372.68,6.93
OL00327,ORD0111,PROD0092,2,390.55,3.71
OL00328,ORD0112,PROD0046,1,85.99,9.6
OL00329,ORD0112,PROD0001,1,171.4,8.76
OL00330,ORD0112,PROD0049,1,313.11,2.07
OL00331,ORD0112,PROD0013,3,431.52,1.13
OL00332,ORD0113,PROD0042,2,222.29,7.21
OL00333,ORD0113,PROD0062,1,306.07,2.24
OL00334,ORD0114,PROD0015,1,452.82,5.6
OL00335,ORD0114,PROD0032,1,63.21,6.85
OL00336,ORD0114,PROD0066,1,313.29,9.23
OL00337,ORD0114,PROD0064,3,248.39,0.56
OL00338,ORD0114,PROD0097,1,126.73,9.57
OL00339,ORD0115,PROD0084,3,414.25,2.74
OL00340,ORD0116,PROD0033,2,301.73,0.56
OL00341,ORD0116,PROD0048,1,436.59,2.71
OL00342,ORD0116,PROD0041,3,113.6,8.57
OL00343,ORD0116,PROD0052,1,493.59,0.66
OL00344,ORD0117,PROD0088,1,52.25,1.22
OL00345,ORD0117,PROD0073,3,224.99,9.33
OL00346,ORD0117,PROD0027,1,298.77,2.86
OL00347,ORD0117,PROD0003,1,372.68,1.08
OL00348,ORD0117,PROD0095,2,89.2,3.02
OL00349,ORD0118,PROD0013,2,431.52,7.15
OL00350,ORD0118,PROD0079,1,311.08,6.91
OL00351,ORD0119,PROD0055,1,77.81,0.19
OL00352,ORD0119,PROD0044,3,92.08,2.87
OL00353,ORD0119,PROD0031,3,213.8,1.61
OL00354,ORD0119,PROD0036,2,286.76,1.43
OL00355,ORD0119,PROD0069,2,288.04,4.39
OL00356,ORD0120,PROD0089,2,336.96,5.54
OL00357,ORD0120,PROD0066,3,313.29,6.66
OL00358,ORD0120,PROD0053,2,411.23,1.58
OL00359,ORD0120,PROD0024,1,96.07,3.9
OL00360,ORD0121,PROD0048,1,436.59,6.99
OL00361,ORD0121,PROD0083,3,203.77,0.6
OL00362,ORD0121,PROD0021,3,20.67,4.13
OL00363,ORD0121,PROD0086,1,94.31,4.95
OL00364,ORD0121,PROD0028,1,287.4,9.62
OL00365,ORD0122,PROD0032,3,63.21,9.68
OL00366,ORD0122,PROD0096,1,374.57,5.65
OL00367,ORD0123,PROD0077,2,443.75,1.52
OL00368,ORD0123,PROD0092,2,390.55,2.89
OL00369,ORD0123,PROD0091,3,152.69,7.96
OL00370,ORD0123,PROD0076,1,269.77,6.72
OL00371,ORD0124,PROD0062,2,306.07,9.26
OL00372,ORD0125,PROD0026,3,25.49,4.27
OL00373,ORD0125,PROD0024,3,96.07,9.16
OL00374,ORD0125,PROD0013,1,431.52,4.61
OL00375,ORD0125,PROD0026,1,25.49,5.6
OL00376,ORD0126,PROD0044,1,92.08,1.24
OL00377,ORD0126,PROD0071,3,301.77,4.59
OL00378,ORD0126,PROD0054,2,153.66,1.17
OL00379,ORD0127,PROD0070,1,318.94,2.38
OL00380,ORD0128,PROD0006,2,119.01,4.02
OL00381,ORD0128,PROD0055,1,77.81,5.85
OL00382,ORD0128,PROD0004,3,475.82,2.14
OL00383,ORD0128,PROD0019,3,344.43,9.75
OL00384,ORD0129,PROD0004,3,475.82,3.41
OL00385,ORD0130,PROD0092,1,390.55,6.2
OL00386,ORD0130,PROD0057,3,295.59,4.61
OL00387,ORD0131,PROD0006,2,119.01,0.85
OL00388,ORD0131,PROD0023,1,464.44,8.01
OL00389,ORD0131,PROD0073,2,224.99,9.3
OL00390,ORD0131,PROD0030,2,86.64,3.77
OL00391,ORD0131,PROD0046,3,85.99,7.5
OL00392,ORD0132,PROD0079,2,311.08,5.86
OL00393,ORD0132,PROD0014,1,259.72,8.74
OL00394,ORD0132,PROD0076,2,269.77,4.56
OL00395,ORD0133,PROD0073,3,224.99,4.04
OL00396,ORD0133,PROD0097,2,126.73,6.74
OL00397,ORD0133,PROD0065,2,389.11,2.59
OL00398,ORD0134,PROD0013,1,431.52,4.55
OL00399,ORD0134,PROD0064,1,248.39,8.94
OL00400,ORD0134,PROD0025,1,63.25,6.67
OL00401,ORD0134,PROD0048,2,436.59,5.56
OL00402,ORD0135,PROD0027,1,298.77,0.63
OL00403,ORD0135,PROD0095,1,89.2,0.32
OL00404,ORD0135,PROD0079,3,311.08,4.94
OL00405,ORD0136,PROD0055,2,77.81,3.41
OL00406,ORD0137,PROD0023,1,464.44,5.98
OL00407,ORD0138,PROD0045,1,55.38,3.27
OL00408,ORD0138,PROD0029,2,93.05,1.26
OL00409,ORD0138,PROD0033,2,301.73,2.3
OL00410,ORD0138,PROD0050,2,342.25,7.46
OL00411,ORD0138,PROD0004,1,475.82,1.08
OL00412,ORD0139,PROD0023,1,464.44,2.38
OL00413,ORD0139,PROD0014,1,259.72,9.68
OL00414,ORD0139,PROD0068,1,471.85,5.85
OL00415,ORD0140,PROD0042,2,222.29,8.05
OL00416,ORD0140,PROD0054,1,153.66,2.35
OL00417,ORD0141,PROD0018,3,162.37,0.02
OL00418,ORD0142,PROD0051,3,239.56,0.42
OL00419,ORD0143,PROD0039,2,322.11,2.71
OL00420,ORD0143,PROD0062,1,306.07,2.82
OL00421,ORD0143,PROD0100,1,106.38,3.12
OL00422,ORD0143,PROD0095,1,89.2,5.49
OL00423,ORD0144,PROD0003,2,372.68,8.92
OL00424,ORD0144,PROD0073,1,224.99,6.55
OL00425,ORD0144,PROD0040,2,343.07,2.53
OL00426,ORD0144,PROD0037,2,481.7,2.48
OL00427,ORD0144,PROD0070,3,318.94,3.92
OL00428,ORD0145,PROD0072,1,371.78,0.99
OL00429,ORD0145,PROD0032,2,63.21,9.39
OL00430,ORD0145,PROD0068,1,471.85,8.88
OL00431,ORD0145,PROD0042,2,222.29,5.4
OL00432,ORD0145,PROD0021,2,20.67,9.65
OL00433,ORD0146,PROD0008,2,28.33,6.24
OL00434,ORD0146,PROD0010,2,61.02,0.34
OL00435,ORD0146,PROD0086,3,94.31,0.68
OL00436,ORD0146,PROD0050,2,342.25,8.73
OL00437,ORD0146,PROD0005,1,114.48,8.96
OL00438,ORD0147,PROD0012,3,370.24,5.64
OL00439,ORD0147,PROD0029,2,93.05,0.95
OL00440,ORD0147,PROD0002,2,460.76,7.08
OL00441,ORD0147,PROD0088,1,52.25,6.04
OL00442,ORD0147,PROD0033,3,301.73,6.26
OL00443,ORD0148,PROD0094,3,436.11,4.48
OL00444,ORD0148,PROD0060,2,297.18,7.01
OL00445,ORD0148,PROD0069,1,288.04,6.4
OL00446,ORD0148,PROD0082,3,319.48,5.75
OL00447,ORD0148,PROD0050,1,342.25,1.22
OL00448,ORD0149,PROD0013,1,431.52,7.39
OL00449,ORD0149,PROD0097,3,126.73,5.15
OL00450,ORD0149,PROD0046,2,85.99,3.94
OL00451,ORD0150,PROD0080,2,142.45,9.08
OL00452,ORD0150,PROD0071,2,301.77,0.98
OL00453,ORD0150,PROD0100,1,106.38,2.78
OL00454,ORD0150,PROD0085,1,34.23,8.97
OL00455,ORD0150,PROD0029,1,93.05,9.86
OL00456,ORD0151,PROD0033,2,301.73,1.82
OL00457,ORD0151,PROD0006,1,119.01,6.41
OL00458,ORD0152,PROD0036,1,286.76,7.23
OL00459,ORD0152,PROD0033,3,301.73,7.53
OL00460,ORD0152,PROD0086,2,94.31,0.43
OL00461,ORD0153,PROD0008,2,28.33,2.71
OL00462,ORD0153,PROD0095,3,89.2,8.97
OL00463,ORD0153,PROD0050,1,342.25,9.89
OL00464,ORD0153,PROD0005,3,114.48,2.37
OL00465,ORD0154,PROD0017,1,490.18,8.31
OL00466,ORD0154,PROD0029,2,93.05,0.78
OL00467,ORD0154,PROD0014,1,259.72,5.37
OL00468,ORD0154,PROD0093,1,424.22,4.63
OL00469,ORD0154,PROD0089,1,336.96,8.38
OL00470,ORD0155,PROD0077,3,443.75,9.9
OL00471,ORD0155,PROD0083,1,203.77,8.15
OL00472,ORD0155,PROD0069,3,288.04,5.8
OL00473,ORD0155,PROD0028,2,287.4,5.64
OL00474,ORD0156,PROD0032,1,63.21,7.34
OL00475,ORD0156,PROD0087,1,141.97,0.72
OL00476,ORD0156,PROD0079,3,311.08,0.44
OL00477,ORD0157,PROD0047,2,393.73,9.15
OL00478,ORD0157,PROD0070,2,318.94,1.58
OL00479,ORD0157,PROD0081,2,149.56,2.62
OL00480,ORD0158,PROD0097,3,126.73,9.03
OL00481,ORD0158,PROD0019,2,344.43,8.44
OL00482,ORD0158,PROD0076,1,269.77,0.11
OL00483,ORD0158,PROD0030,3,86.64,2.3
OL00484,ORD0158,PROD0061,1,276.41,3.89
OL00485,ORD0159,PROD0092,2,390.55,1.94
OL00486,ORD0159,PROD0046,3,85.99,6.68
OL00487,ORD0159,PROD0096,1,374.57,1.93
OL00488,ORD0159,PROD0073,1,224.99,6.24
OL00489,ORD0159,PROD0053,1,411.23,5.55
OL00490,ORD0160,PROD0053,3,411.23,6.66
OL00491,ORD0160,PROD0051,1,239.56,1.57
OL00492,ORD0161,PROD0033,2,301.73,5.21
OL00493,ORD0161,PROD0043,3,178.58,9.54
OL00494,ORD0161,PROD0073,3,224.99,4.66
OL00495,ORD0161,PROD0012,1,370.24,5.24
OL00496,ORD0162,PROD0087,1,141.97,9.11
OL00497,ORD0162,PROD0015,1,452.82,2.4
OL00498,ORD0163,PROD0043,1,178.58,5.83
OL00499,ORD0163,PROD0037,3,481.7,9.03
OL00500,ORD0163,PROD0017,1,490.18,0.34
OL00501,ORD0164,PROD0008,1,28.33,9.94
OL00502,ORD0165,PROD0055,3,77.81,6.35
OL00503,ORD0165,PROD0046,3,85.99,3.43
OL00504,ORD0165,PROD0017,2,490.18,6.89
OL00505,ORD0165,PROD0078,2,457.9,7.38
OL00506,ORD0165,PROD0079,3,311.08,3.02
OL00507,ORD0166,PROD0062,1,306.07,3.17
OL00508,ORD0166,PROD0009,1,158.39,4.21
OL00509,ORD0166,PROD0011,3,316.01,2.99
OL00510,ORD0166,PROD0073,1,224.99,4.65
OL00511,ORD0166,PROD0069,2,288.04,1.11
OL00512,ORD0167,PROD0019,2,344.43,9.88
OL00513,ORD0167,PROD0080,3,142.45,6.66
OL00514,ORD0168,PROD0057,2,295.59,2.57
OL00515,ORD0169,PROD0021,2,20.67,8.41
OL00516,ORD0169,PROD0075,3,163.81,1.57
